Gene,Importance
203812_at,0.0005567941235092435
231118_at,0.0005418870684064814
222981_s_at,0.0005343051922395442
200660_at,0.000530083529499081
201688_s_at,0.0005231331100542153
206289_at,0.000521195881834071
203952_at,0.0005165310166911027
218883_s_at,0.0005125463891217539
206323_x_at,0.0005095422245265886
201524_x_at,0.0005077295702537451
230956_at,0.0005067909503719929
235849_at,0.0005037766889406009
208687_x_at,0.00048777884268824093
213101_s_at,0.0004847906309061477
226276_at,0.0004738036694734436
228770_at,0.00044748943018123923
218728_s_at,0.0004365443084828041
232643_at,0.00043645900402451254
210845_s_at,0.0004337172466842018
202593_s_at,0.000433640092512153
201523_x_at,0.00042819893874375105
201821_s_at,0.0004246612456637853
218474_s_at,0.0004221379058368261
223993_s_at,0.00041065005950322465
201179_s_at,0.0004031192210314366
228618_at,0.00039474610197851295
217356_s_at,0.0003918934931611968
213221_s_at,0.00039125618311821914
232538_at,0.00038898799411031954
53991_at,0.00038865567151118337
220691_at,0.0003537973126290236
234243_at,0.00035235128306441396
212623_at,0.0003454312004036149
226319_s_at,0.00034188492304809264
201298_s_at,0.00034048130735103054
218578_at,0.00033681492946132237
1566145_s_at,0.00033249218305028396
225400_at,0.00032814350141410244
218324_s_at,0.0003271068082071882
208932_at,0.0003157582781076503
208743_s_at,0.00031556482164237073
201586_s_at,0.0003051942520515094
220456_at,0.00030189317979078986
203296_s_at,0.0002939802906528673
231013_at,0.0002934299364412066
243416_at,0.0002889367827267398
203087_s_at,0.00028106600284606866
1558727_at,0.00027703806848258377
202779_s_at,0.000273166673530279
233810_x_at,0.0002674898615985579
1555778_a_at,0.0002651981568021535
212322_at,0.00026417860093709447
208744_x_at,0.0002607182782457964
218209_s_at,0.00025290213641522086
217777_s_at,0.0002525817715758247
209074_s_at,0.00025222906032522244
202736_s_at,0.0002518927738260506
240277_at,0.000251497950908112
212353_at,0.00024923107400276717
216442_x_at,0.0002420328105322314
207168_s_at,0.0002374956354586992
209570_s_at,0.0002369596387545233
238634_x_at,0.00023537876897290446
210337_s_at,0.0002348393646715633
214845_s_at,0.0002278379728725687
242432_at,0.00021987560078451666
233781_s_at,0.00021559841054395805
233868_x_at,0.00020989212275504725
215646_s_at,0.00020782999195448023
230472_at,0.0002036049368406037
216272_x_at,0.000189825623640295
227419_x_at,0.00018796341991391042
215780_s_at,0.0001859477020271079
205941_s_at,0.00018374825484297795
1556182_x_at,0.00018175021422572505
202899_s_at,0.00018159768527389457
229021_at,0.00018007586507652693
